domain,domain_raw,source,pulled_at,source_url,company_name,team_size,headcount_min,headcount_max,industry,industries,batch,status,tags,regions,one_liner,long_description
shaped.ai,https://shaped.ai,yc,2026-07-24T09:49:29.866905+00:00,https://www.ycombinator.com/companies/shaped,Shaped,25,25,25,B2B,B2B;Infrastructure,Winter 2022,Active,Search;AI;Recommendation System,United States of America;America / Canada,"The real-time retrieval engine for search, feeds, and agents.","Connect your data. Train your models. Query text, user or session context and retrieve relevant results in milliseconds. Explore our case studies to see how we’ve helped leading brands drive significant engagement and revenue: https://www.shaped.ai/case-study. "
getauctor.com,https://getauctor.com,yc,2026-07-24T09:49:29.866905+00:00,https://www.ycombinator.com/companies/auctor,Auctor,30,30,30,B2B,B2B,Spring 2025,Active,Generative AI;SaaS;Productivity,United States of America;America / Canada,The agentic operating system for modern system integrators.,"Auctor brings alignment and intelligence to software implementation, enabling every project to deliver its intended value with clarity and precision."
imgix.com,https://www.imgix.com,yc,2026-07-24T09:49:29.866905+00:00,https://www.ycombinator.com/companies/imgix,Imgix,34,34,34,B2B,B2B;Infrastructure,Summer 2011,Active,Developer Tools;SaaS;Video,United States of America;America / Canada;Remote;Partly Remote,The platform for your visual media.,"Nobody should have to employ expensive imaging scientists and engineers for their business to get the most out of their visual media. This is where imgix has your back. imgix is a platform for managing, processing, rendering, optimizing, and delivering your existing visual assets so that you can meet the demands of your business and your team can stay focused on what they do best.

The business demands on web visual media can blindside even the most hyper-aware content teams and developers. Just to be competitive on the Internet, you need your images to be sized perfectly to every device, served in one of any of a half dozen web formats, optimized to the absolute best perceptual quality while maintaining pinpoint performance, and distributed to wherever your users are, anywhere in the world. And that is just the baseline. Next-level imaging concerns like copyright, licensing, accessibility, moderation, illegal or explicit content, ""fake news"", and more, can threaten your business at any moment if not handled properly. Get any of these things wrong and you are shedding revenue, ceding ground to competitors, and potentially exposing your business to extreme liability.

By working with imgix's powerful APIs, SDKs, user interfaces, and integrations, you can rest assured that any demands on your images and videos will always be met, now and into the future, without you having to invest in building it yourself or patching together a mishmash of open source and third-party technologies. Our platform is designed to ensure that your images are always working for your business and never against it.

imgix was launched through the famed Y Combinator accelerator program. Its customers include Google, Lyft, Kickstarter, AirBnb, Coursera, Bonobos, Spotify, Vimeo, Bustle, and many others."
mastra.ai,https://mastra.ai,yc,2026-07-24T09:49:29.866905+00:00,https://www.ycombinator.com/companies/mastra,Mastra,30,30,30,B2B,"B2B;Engineering, Product and Design",Winter 2025,Active,Artificial Intelligence;Developer Tools;Open Source;AI,United States of America;America / Canada;Remote;Fully Remote,"The Javascript framework for building AI agents, from the Gatsby devs","Mastra is the easiest way to build a production AI application, built by the team that brought you Gatsby. We provide a complete set of AI primitives: workflows for complex operations, agents for autonomous decisions, RAG for knowledge integration, and evals for quality & accuracy. Mastra is open-source, modular, and built in Typescript for product developers. You can deploy Mastra on any cloud, and it gives you a straightforward syntax to solve the hardest problems building with AI: human-in-the-loop workflows, agent memory and tool selection, and output quality. "
vectorshift.ai,https://www.vectorshift.ai,yc,2026-07-24T09:49:29.866905+00:00,https://www.ycombinator.com/companies/vectorshift,VectorShift,30,30,30,B2B,B2B;Finance and Accounting,Summer 2023,Active,Artificial Intelligence;Generative AI;Finance,United States of America;America / Canada,AI Operating System for Private Market Investors,"VectorShift is the AI operating system for private market investors.VectorShift is the AI operating system for private market investors. We capture a firm's institutional knowledge across every deal, decision, and diligence finding, and put it to work across data room analysis, IC memos, portfolio company monitoring, and LP reporting."
datasaur.ai,https://datasaur.ai,yc,2026-07-24T09:49:29.866905+00:00,https://www.ycombinator.com/companies/datasaur,Datasaur,55,55,55,B2B,"B2B;Engineering, Product and Design",Winter 2020,Active,Artificial Intelligence;Deep Learning;Developer Tools,United States of America;America / Canada;Remote;Fully Remote,Datasaur builds a data labeling workforce management platform for NLP.,"Datasaur builds intelligent, optimized, human-centric LLM/NLP tools. If you're still using Excel or maintaining your own in-house tools, Datasaur can offer you significant cost-savings and improve the quality of your training data. We provide tools custom-built for power users. Our built-in intelligence helps augment your human labelers and avoid costly mistakes; our workforce management tool allows you to assign projects to and cross-validate the results from multiple labelers to ensure you can train your models with the utmost confidence.

I have 10 years of consumer product experience. I'd be happy to help discuss product strategy and gamification.
I'd love to get any advice you have to offer on SaaS and enterprise sales."
business.stayflexi.com,https://business.stayflexi.com/,yc,2026-07-24T09:49:29.866905+00:00,https://www.ycombinator.com/companies/stayflexi,Stayflexi,58,58,58,B2B,B2B,Winter 2021,Active,Travel,United States of America;America / Canada;Remote;Partly Remote,Operating System for Hotels and Vacation Rentals,"Stayflexi is a revolutionary platform designed to simplify hotel and vacation rental operations, while increasing revenues from unsold rooms and amenities. By harnessing the power of automation, Stayflexi eliminates the need for manual processes and provides a seamless, positive customer experience for guests. 

Founded by computer science majors from Carnegie Mellon and Cornell, Stayflexi was born out of the need to solve the problems experienced by hosts and travelers. With Stayflexi, you can rest assured that your guests will be given the best possible experience and that you will be able to maximize profits on your unsold rooms.

Stayflexi platform is helping over 3000 hotels in 16 different countries and growing rapidly."
etleap.com,https://etleap.com,yc,2026-07-24T09:49:29.866905+00:00,https://www.ycombinator.com/companies/etleap,Etleap,11,11,11,B2B,B2B;Infrastructure,Winter 2013,Active,Data Engineering,United States of America;America / Canada,Etleap is an ETL solution for creating perfect data pipelines. ,"Etleap is an ETL solution for creating perfect data pipelines from day one. Unlike other enterprise solutions, Etleap doesn’t require extensive engineering work to set up, maintain, and scale. It automates most ETL setup and maintenance work, and simplifies the rest into 10-minute tasks that analysts can own."
floworks.ai,https://floworks.ai/,yc,2026-07-24T09:49:29.866905+00:00,https://www.ycombinator.com/companies/floworks,Floworks,20,20,20,B2B,B2B;Sales,Winter 2023,Active,Generative AI;Productivity;Sales;AI;AI Assistant,United States of America;America / Canada;Remote;Partly Remote,Hire the best AI Sales employees | AI SDR | AI RevOps | AI EA,"Floworks (https://floworks.ai) is building a suite of AI employees that helps business to run several business functions such as sales, on autopilot.

Our flagship product, Alisha is an AI SDR that performs the full outbound SDR job- fully autonomously without any human involvement. 

Our AI SDR Alisha can perform ICP research, find out prospect lists, research about each prospect across 180 web sources, write highly personalized emails to each, follow and engage, and finally coordinate like a human to book sales calls.

Businesses using Alisha get 3 key benefits:
1.⁠ ⁠They get 12x output from your existing sales team.
2.⁠ ⁠⁠Are able to scale to 8 figure revenues with just a single AE.

Alisha is built on our proprietary function calling model ThorV2 (https://floworks.ai/research) that outperforms both Claude 3 and GPT-4 function calling in accuracy by 13% and 43% respectively. At the same time, ThorV2 uses only a fraction of the cost (<40%) and time/latency (<78%) as the other models.

Our second AI employee, Ashley, is an AI Executive Assistant that keeps you reminded and on top of your on your schedule. Works on your whim- just command Flowy to book a meeting, move a meeting or write a email, and it does without you having to navigate through every apps. You can teach Flowy specific workflows such as ‘inform me immediately if i receive a reply from xyz’, “show my unread emails from last day every morning 7am” and much more

Our third AI employee, Romona is a helpful AI Revenue Operations Manager that keeps track of every CRM data updation on behalf of your team, works on your instruction to update notes, next steps, MEDDIC after every call, does periodic CRM reporting and much more."
anakin.io,https://anakin.io,yc,2026-07-24T09:49:29.866905+00:00,https://www.ycombinator.com/companies/anakin,Anakin,70,70,70,B2B,B2B;Analytics,Summer 2021,Active,Artificial Intelligence;Developer Tools;API,United States of America;America / Canada;Remote;Partly Remote,One API to get clean data from any website for your AI agents at scale,"Anakin is building web data infrastructure for AI agents and data teams. We help them get clean, structured and deterministic data from any website with one API call, at up to 10,000x lower cost than driving a browser.

We do that by collecting data and turning websites into documented, self-healing APIs that adapt when sites change. Our engine automatically delivers real-time data from thousands of websites and apps, including the world's hardest, across 100+ countries."
